taxid	count	name	rank	superkindom	phylum	class	order	family	genus	species
1587907	1	Streptococcus phage M102AD	species	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae		Streptococcus phage M102AD
1588048	1	Tadarida brasiliensis polyomavirus 1	species	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae		Tadarida brasiliensis polyomavirus 1
1588049	1	Tadarida brasiliensis polyomavirus 2	species	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae		Tadarida brasiliensis polyomavirus 2
1588685	1	Wenzhou mammarenavirus	species	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Arenaviridae	Mammarenavirus	Wenzhou mammarenavirus
1588764	1	Gemycircularvirus SL1	no rank	Viruses	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Genomoviridae	Gemykibivirus	Gemykibivirus humas2
1589265	1	Yersinia phage vB_YenM_TG1	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Tegunavirus	Yersinia virus TG1
1589270	1	Streptococcus phage Str-PAP-1	species	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae		Streptococcus phage Str-PAP-1
1589273	1	Pseudomonas phage PhiCHU	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Bruynoghevirus	Pseudomonas virus CHU
1589274	1	Mycobacterium phage Sheen	species	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Fromanvirus	Mycobacterium phage Sheen
1589297	1	Vibrio phage phi 1	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Schitoviridae	Pacinivirus	Vibrio virus phi1
1589298	1	Vibrio phage phi 3	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Demerecviridae	Jesfedecavirus	Vibrio virus phi3
1589733	1	Cyanophage P-TIM40	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Libanvirus	Prochlorococcus virus PTIM40
1589746	1	Achromobacter phage JWX	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Steinhofvirus	Achromobacter virus JWX
1589747	1	Achromobacter phage 83-24	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Steinhofvirus	Achromobacter virus 83-24
1589748	1	Achromobacter phage JWF	species	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae		Achromobacter phage JWF
1589749	1	Paenibacillus phage HB10c2	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Fernvirus	Paenibacillus virus Hb10c2
1589750	1	Paenibacillus phage Diva	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Fernvirus	Paenibacillus virus Diva
1589751	1	Bacteriophage Lily	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales		Lilyvirus	Paenibacillus virus Lily
1589752	1	Paenibacillus phage Rani	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Fernvirus	Paenibacillus virus Rani
1589754	1	Paenibacillus phage Shelly	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Fernvirus	Paenibacillus virus Shelly
1589755	1	Paenibacillus phage Sitara	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Fernvirus	Paenibacillus virus Sitara
1590154	1	Bromus-associated circular DNA virus 1	species	Viruses						Bromus-associated circular DNA virus 1
1590155	1	Bromus-associated circular DNA virus 2	species	Viruses						Bromus-associated circular DNA virus 2
1590156	1	Bromus-associated circular DNA virus 3	no rank	Viruses	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Genomoviridae	Gemycircularvirus	Gemycircularvirus bromas1
1590172	1	Bromus-associated circular DNA virus 4	species	Viruses						Bromus-associated circular DNA virus 4
1590173	1	Trifolium-associated circular DNA virus 1	species	Viruses						Trifolium-associated circular DNA virus 1
1590370	1	Betacoronavirus HKU24	no rank	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	China Rattus coronavirus HKU24
1590550	1	Escherichia phage RCS47	no rank	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Punavirus	Escherichia virus RCS47
1590650	1	Adelie penguin polyomavirus	no rank	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae	Gammapolyomavirus	Pygoscelis adeliae polyomavirus 1
1590836	1	Maprik virus	no rank	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Maprik orthobunyavirus
1591072	1	Listeria phage vB_LmoS_188	species	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae		Listeria phage vB_LmoS_188
1591073	1	Listeria phage vB_LmoS_293	species	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae		Listeria phage vB_LmoS_293
159122	1	Simian immunodeficiency virus SIV-mnd 2	no rank	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Lentivirus	Simian immunodeficiency virus
159138	1	Sabo virus	no rank	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Sabo orthobunyavirus
159140	1	Buttonwillow virus	no rank	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Buttonwillow orthobunyavirus
159141	1	Sathuperi orthobunyavirus	species	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Peribunyaviridae	Orthobunyavirus	Sathuperi orthobunyavirus
