taxid	count	name	rank	superkindom	phylum	class	order	family	genus	species
1965604	1	Anaeromassilibacillus sp. An250	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Anaeromassilibacillus	Anaeromassilibacillus sp. An250
1965612	1	Collinsella sp. An268	species	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp. An268
1965618	1	Desulfovibrio sp. An276	species	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio sp. An276
1965632	1	Bacteroides sp. An322	species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. An322
1965639	1	Gemmiger sp. An50	species	Bacteria	Firmicutes	Clostridia	Eubacteriales		Gemmiger	Gemmiger sp. An50
1965647	1	Drancourtella sp. An57	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Drancourtella	Drancourtella sp. An57
1965650	1	Alistipes sp. An66	species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes sp. An66
1965651	1	Collinsella sp. An7	species	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp. An7
1965662	1	Gemmiger sp. An87	species	Bacteria	Firmicutes	Clostridia	Eubacteriales		Gemmiger	Gemmiger sp. An87
1968889	1	Streptococcus sp. CECT 9732	species	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. CECT 9732
1985876	1	Escherichia sp. ESNIH1	species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia sp. ESNIH1
1987501	1	Massiliimalia timonensis	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Massiliimalia	Massiliimalia timonensis
1987580	1	Proteus columbae	species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	Proteus columbae
2004646	1	Acinetobacter sp. WCHA55	species	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter sp. WCHA55
2005046	1	Stenotrophomonas sp. WZN-1	species	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas sp. WZN-1
2018037	1	Klebsiella sp. 2680	species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella sp. 2680
2022662	1	Superficieibacter electus	species	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Superficieibacter	Superficieibacter electus
2024197	1	Bacteroides cutis	species	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides cutis
2025492	1	Staphylococcus sp. M0911	species	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus sp. M0911
2025493	1	Blautia hominis	species	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	Blautia hominis
2026771	1	Opitutae bacterium	species	Bacteria	Verrucomicrobia	Opitutae				Opitutae bacterium
2026799	1	Verrucomicrobia bacterium	species	Bacteria	Verrucomicrobia					Verrucomicrobia bacterium
