taxid	count	name	rank	superkindom	phylum	class	order	family	genus	species
220812	5	Tomato leaf curl betasatellite	species	Viruses				Tolecusatellitidae	Betasatellite	Tomato leaf curl betasatellite
220932	5	Tomato leaf curl Karnataka virus	species	Viruses	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Tomato leaf curl Karnataka virus
2219036	5	Paguma larvata torque teno virus	no rank	Viruses				Anelloviridae		Torque teno virus
2219103	5	Inoviridae sp.	species	Viruses	Hofneiviricota	Faserviricetes	Tubulavirales	Inoviridae		Inoviridae sp.
223347	5	Tomato leaf curl New Delhi virus	species	Viruses	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Tomato leaf curl New Delhi virus
2233538	5	Duck adenovirus 3	species	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Aviadenovirus	Duck adenovirus 3
2305270	5	Bamboo rat circovirus	no rank	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	Circovirus	Rodent associated circovirus 7
230604	5	Extra small virus	no rank	Viruses				Sarthroviridae	Macronovirus	Macrobrachium satellite virus 1
239364	5	uncultured human fecal virus	species	Viruses						uncultured human fecal virus
240865	5	Honeysuckle yellow vein virus	species	Viruses	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Geminiviridae	Begomovirus	Honeysuckle yellow vein virus
2487763	5	Barrevirus sp.	species	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Barrevirus sp.
2487764	5	Dasosvirus sp.	species	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Dasosvirus sp.
2487765	5	Edafosvirus sp.	species	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Edafosvirus sp.
2487766	5	Faunusvirus sp.	species	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Faunusvirus sp.
2487767	5	Gaeavirus sp.	species	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Gaeavirus sp.
2487768	5	Harvfovirus sp.	species	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Harvfovirus sp.
2487769	5	Homavirus sp.	species	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Homavirus sp.
2487770	5	Hyperionvirus sp.	species	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Hyperionvirus sp.
2487771	5	Satyrvirus sp.	species	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Satyrvirus sp.
2487772	5	Solivirus sp.	species	Viruses				Pithoviridae		Solivirus sp.
2487773	5	Solumvirus sp.	species	Viruses				Pithoviridae		Solumvirus sp.
2487774	5	Sylvanvirus sp.	species	Viruses						Sylvanvirus sp.
2487775	5	Terrestrivirus sp.	species	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae		Terrestrivirus sp.
2491899	5	Sulfolobus spindle-shaped virus	species	Viruses				Fuselloviridae	Alphafusellovirus	Sulfolobus spindle-shaped virus
2496634	5	Porcine associated porprismacovirus	species	Viruses	Cressdnaviricota	Arfiviricetes	Cremevirales	Smacoviridae	Porprismacovirus	Porcine associated porprismacovirus
2508184	5	Nitrosopumilus spindle-shaped virus	species	Viruses				Fuselloviridae	Alphafusellovirus	Nitrosopumilus spindle-shaped virus
257468	5	Muscovy duck circovirus	no rank	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	Circovirus	Duck circovirus
2576452	5	Blackfly microvirus SF02	species	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microvirus	Blackfly microvirus SF02
2591644	5	Prokaryotic dsDNA virus sp.	species	Viruses						Prokaryotic dsDNA virus sp.
265294	5	Ambystoma tigrinum virus	species	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Iridoviridae	Ranavirus	Ambystoma tigrinum virus
2697049	5	Severe acute respiratory syndrome coronavirus 2	no rank	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus
278008	5	uncultured phage	species	Viruses						uncultured phage
2805939	5	Circular ssDNA virus sp.	species	Viruses						Circular ssDNA virus sp.
2806022	5	Mycoplasma phage sp.	species	Viruses						Mycoplasma phage sp.
2809802	5	Redondoviridae sp.	species	Viruses	Cressdnaviricota	Arfiviricetes	Recrevirales	Redondoviridae		Redondoviridae sp.
28275	5	Human adenovirus D10	serotype	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D
28278	5	Human adenovirus 19	serotype	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D
